TV# & A & B & C & D & E & Batch Size
1 & 30 & 31 & 31 & 35 & 55 & 10
2 & 30 & 38 & 39 & 47 & 72 & 20
3 & 30 & 39 & 44 & 52 & 80 & 30
4 & 39 & 46 & 55 & 53 & 81 & 40
5 & 40 & 48 & 60 & 56 & 83 & 50
6 & 40 & 49 & 63 & 56 & 86 & 60
7 & 40 & 49 & 63 & 57 & 86 & 70
8 & 40 & 49 & 63 & 57 & 88 & 80
9 & 40 & 49 & 63 & 59 & 88 & 90
10 & 42 & 50 & 66 & 61 & 88 & 100
11 & 42 & 50 & 67 & 61 & 89 & 110
12 & 42 & 51 & 68 & 61 & 92 & 120
13 & 42 & 56 & 76 & 61 & 92 & 130
14 & 42 & 58 & 78 & 61 & 92 & 140
15 & 42 & 58 & 79 & 61 & 92 & 150
16 & 42 & 58 & 84 & 61 & 92 & 160
17 & 42 & 60 & 84 & 61 & 92 & 170
18 & 42 & 61 & 84 & 61 & 92 & 180
19 & 42 & 61 & 84 & 61 & 92 & 190
20 & 42 & 61 & 84 & 61 & 92 & 200
21 & 42 & 61 & 84 & 61 & 92 & 210
22 & 42 & 61 & 84 & 63 & 92 & 220
23 & 42 & 61 & 86 & 63 & 92 & 230
24 & 42 & 61 & 86 & 63 & 92 & 240
25 & 42 & 63 & 86 & 63 & 92 & 250
